,id,approval,toxic,obscene,threat,insult,hate,offensive,neither
114,115,0.00044172295,0.00023438953,2.6287846e-05,1.1514182e-05,4.714628e-05,0.00012654162,0.00010082814,0.9990115
115,116,5.1133342e-05,0.00012257142,1.7282924e-05,7.465091e-06,2.4657733e-05,2.0681719e-05,1.921667e-05,0.99973696
116,117,1.2966892e-05,7.6085016e-05,2.2481405e-05,5.9789145e-06,2.0332116e-05,1.3993222e-05,1.437707e-05,0.9998337
117,118,0.0006056373,9.655662e-05,1.5540143e-05,9.718896e-06,2.725646e-05,9.520372e-05,0.00021623996,0.99893385
118,119,0.0011356305,0.0002801217,2.6763691e-05,1.3777714e-05,4.347347e-05,4.1370862e-05,5.2195184e-05,0.9984067
119,120,1.358484e-05,9.4003604e-05,2.4715486e-05,6.2354857e-06,2.3983552e-05,1.4722753e-05,1.2267814e-05,0.9998105
120,121,1.607586e-05,0.00017824868,3.8112663e-05,7.0914693e-06,3.887419e-05,2.0489304e-05,1.6750879e-05,0.99968433
121,122,2.0346291e-05,8.472052e-05,1.9542742e-05,6.217269e-06,1.9077987e-05,1.29472655e-05,1.3219309e-05,0.999824
122,123,0.0006994263,0.0003176178,2.5354027e-05,1.5021477e-05,4.3290354e-05,3.0255162e-05,2.5211337e-05,0.9988438
123,124,0.0014906859,0.00022699818,2.3147146e-05,1.5165263e-05,5.6224904e-05,4.76657e-05,6.08565e-05,0.9980794
124,125,2.0643674e-05,0.00018497116,3.4199522e-05,7.778736e-06,3.6053578e-05,1.5135331e-05,1.2533303e-05,0.99968874
125,126,0.00016601673,0.00040355517,3.9144783e-05,1.2014725e-05,6.994176e-05,5.066702e-05,4.5525037e-05,0.9992131
126,127,2.2654296e-05,0.00019095096,3.315064e-05,7.5511043e-06,3.1004107e-05,2.0678614e-05,1.3631256e-05,0.9996804
127,128,0.0074031646,0.00041295314,5.0380055e-05,2.8863482e-05,0.00010348374,0.00016601234,0.00029840157,0.99153674
128,129,5.073525e-05,0.00011355171,1.8192111e-05,6.450964e-06,2.1700263e-05,1.6445489e-05,1.3580325e-05,0.9997594
129,130,1.09255725e-05,0.00011615299,2.736325e-05,6.9939265e-06,2.6573702e-05,1.9986892e-05,1.5292351e-05,0.99977666
130,131,1.3507342e-05,0.00011485096,2.7227252e-05,6.3836487e-06,2.6319636e-05,1.7628829e-05,1.3933029e-05,0.99978
131,132,1.4293411e-05,7.3851086e-05,1.9688428e-05,5.840121e-06,1.9411269e-05,1.2549291e-05,1.244427e-05,0.9998419
132,133,1.6983635e-05,0.00018149562,3.3897613e-05,7.6089495e-06,3.4398534e-05,2.133645e-05,1.3385935e-05,0.9996909
133,134,2.7874741e-05,0.00014563676,2.3550963e-05,6.789627e-06,2.6040385e-05,1.8749517e-05,1.3154106e-05,0.9997383
134,135,3.5557307e-05,7.104855e-05,1.5088697e-05,5.7124157e-06,1.7815746e-05,1.206961e-05,1.2690867e-05,0.99983
135,136,2.515196e-05,0.00011259498,2.05153e-05,6.203855e-06,2.615375e-05,1.4868923e-05,1.4402732e-05,0.99978024
136,137,1.359195e-05,0.000104198145,2.5367957e-05,6.529405e-06,2.414315e-05,1.5247427e-05,1.3129033e-05,0.99979776
137,138,0.0038820093,0.8445685,0.10078612,0.00020457851,0.01709774,0.0009912896,0.0006845579,0.03178524
138,139,2.2100478e-05,5.600149e-05,1.5336727e-05,5.4397356e-06,1.5776342e-05,1.1958889e-05,1.2314407e-05,0.999861
139,140,2.2454245e-05,0.00011164194,2.082235e-05,6.3440475e-06,2.2986316e-05,1.6273645e-05,1.209252e-05,0.9997875
140,141,0.029141666,0.00056784024,7.39981e-05,4.8094982e-05,0.00014013781,0.00022106375,0.00024525364,0.96956193
141,142,0.000104602565,0.013301801,0.0012162837,6.6576744e-05,0.00092291593,0.00042987044,9.613895e-05,0.98386174
142,143,8.116352e-05,0.012270144,0.00074246794,8.122067e-05,0.0014395347,0.00047090935,0.00013282658,0.98478174
143,144,0.00043855957,0.001004901,6.134582e-05,2.2733504e-05,0.00013585952,0.00012976858,0.00012123512,0.9980856
144,145,1.8242128e-05,0.00010287021,2.3312998e-05,6.4451165e-06,2.2988717e-05,1.2987944e-05,1.09303655e-05,0.9998023
145,146,1.746773e-05,0.00054285297,8.546081e-05,1.2127419e-05,8.31854e-05,3.7992362e-05,1.883438e-05,0.9992021
146,147,2.7540635e-05,8.487798e-05,1.6168411e-05,6.0291227e-06,2.0958025e-05,1.5799082e-05,1.6993543e-05,0.9998116
147,148,1.292908e-05,0.00013135422,3.0279454e-05,6.4958012e-06,2.981587e-05,1.915717e-05,1.8240178e-05,0.9997516
148,149,2.4112049e-05,0.000100944766,1.9149476e-05,6.24418e-06,2.2630273e-05,1.5404508e-05,1.3541947e-05,0.9997981
149,150,8.237213e-05,0.00020095299,2.8323928e-05,9.947281e-06,3.744582e-05,1.6492282e-05,1.3489884e-05,0.9996111
150,151,1.3474604e-05,0.00010736926,2.7405504e-05,6.75284e-06,2.5768104e-05,1.4257843e-05,1.3036354e-05,0.9997919
151,152,0.00023068418,0.00012595276,1.8658877e-05,7.335352e-06,2.9197932e-05,2.0574662e-05,2.3066075e-05,0.99954444
152,153,2.2072385e-05,0.00019714465,3.118359e-05,8.598049e-06,3.6967456e-05,2.024317e-05,1.4238789e-05,0.99966955
153,154,4.909328e-05,0.0001206415,1.8887007e-05,6.7730216e-06,2.5247762e-05,1.3988861e-05,1.2466347e-05,0.9997528
154,155,2.2661572e-05,7.673465e-05,1.7939092e-05,6.096709e-06,1.8783896e-05,1.2721303e-05,1.3281964e-05,0.9998317
155,156,0.00021245316,0.000118287244,1.7464865e-05,7.4596815e-06,2.7624721e-05,2.135903e-05,2.8171988e-05,0.9995671
156,157,0.0015688305,0.00017728156,2.2489588e-05,1.500161e-05,4.3751563e-05,5.684629e-05,6.299617e-05,0.99805284
157,158,1.5645513e-05,9.767597e-05,2.3096474e-05,6.01951e-06,2.294499e-05,2.0005267e-05,1.6461408e-05,0.9997981
